a,1,plate,10,13,null,2,null,null
a,1,drink,null,null,null,null,null,large
a,2,family,12,10,11,3,null,null
a,2,drink,null,null,null,null,null,medium
a,2,drink,null,null,null,null,null,medium
a,2,drink,null,null,null,null,null,medium
a,2,drink,null,null,null,null,null,medium
a,3,bowl,14,null,null,4,null,null
a,3,drink,null,null,null,null,null,medium
a,4,plate,13,7,null,2,null,null
a,4,drink,null,null,null,null,null,large
a,5,bowl,11,null,null,5,null,null
a,5,drink,null,null,null,null,null,medium
a,6,plate,9,10,null,2,null,null
a,6,drink,null,null,null,null,null,large
a,7,bowl,16,null,null,2,null,null
a,7,drink,null,null,null,null,null,medium
a,8,family,16,8,10,3,null,null
a,8,drink,null,null,null,null,null,medium
a,8,drink,null,null,null,null,null,medium
a,8,drink,null,null,null,null,null,medium
a,8,drink,null,null,null,null,null,medium
a,9,family,15,16,15,4,null,null
a,9,drink,null,null,null,null,null,medium
a,9,drink,null,null,null,null,null,medium
a,9,drink,null,null,null,null,null,medium
a,9,drink,null,null,null,null,null,medium
a,10,family,17,14,17,2,null,null
a,10,drink,null,null,null,null,null,medium
a,10,drink,null,null,null,null,null,medium
a,10,drink,null,null,null,null,null,medium
a,10,drink,null,null,null,null,null,medium
a,11,family,16,8,14,6,null,null
a,11,drink,null,null,null,null,null,medium
a,11,drink,null,null,null,null,null,medium
a,11,drink,null,null,null,null,null,medium
a,11,drink,null,null,null,null,null,medium
a,12,bowl,8,null,null,1,null,null
a,12,drink,null,null,null,null,null,medium
a,13,plate,13,11,null,2,null,null
a,13,drink,null,null,null,null,null,large
a,14,plate,10,11,null,4,null,null
a,14,drink,null,null,null,null,null,large
a,15,family,12,15,9,2,null,null
a,15,drink,null,null,null,null,null,medium
a,15,drink,null,null,null,null,null,medium
a,15,drink,null,null,null,null,null,medium
a,15,drink,null,null,null,null,null,medium
a,16,family,11,9,16,6,null,null
a,16,drink,null,null,null,null,null,medium
a,16,drink,null,null,null,null,null,medium
a,16,drink,null,null,null,null,null,medium
a,16,drink,null,null,null,null,null,medium
a,17,family,12,8,7,1,null,null
a,17,drink,null,null,null,null,null,medium
a,17,drink,null,null,null,null,null,medium
a,17,drink,null,null,null,null,null,medium
a,17,drink,null,null,null,null,null,medium
